dataset_label,sample_design,coef,quant,method,prop_repl,prop_rich
Giraudo_2008,pooled,BJ,FALSE,"Baselga family, Jaccard",0.6964573268921095,NA
Giraudo_2008,pooled,BJ,TRUE,"Baselga family, Ruzicka",0.6568412592943385,NA
Goncalves-Souza_2007,pooled,BJ,FALSE,"Baselga family, Jaccard",0.8197195386519274,NA
Goncalves-Souza_2007,pooled,BJ,TRUE,"Baselga family, Ruzicka",0.8196432638598563,NA
Goodman_2000,standardized_subsamples,BJ,FALSE,"Baselga family, Jaccard",0.37026879076711994,NA
Goodman_2000,standardized_subsamples,BJ,TRUE,"Baselga family, Ruzicka",0.5281142052612253,NA
Guadagnin_2005,pooled,BJ,FALSE,"Baselga family, Jaccard",0.518684221936442,NA
Guadagnin_2005,pooled,BJ,TRUE,"Baselga family, Ruzicka",0.41811281993639604,NA
Halme_1993,pooled,BJ,FALSE,"Baselga family, Jaccard",0.7794168192272997,NA
Halme_1993,pooled,BJ,TRUE,"Baselga family, Ruzicka",0.6644180982658128,NA
Henry_2007,pooled,BJ,FALSE,"Baselga family, Jaccard",0.7393889332224787,NA
Henry_2007,pooled,BJ,TRUE,"Baselga family, Ruzicka",0.7077415734059144,NA
Horvath_2009,standardized_fragment,BJ,FALSE,"Baselga family, Jaccard",0.7098012615243997,NA
Horvath_2009,standardized_fragment,BJ,TRUE,"Baselga family, Ruzicka",0.622127254551162,NA
Jauker_2019,pooled,BJ,FALSE,"Baselga family, Jaccard",0.7911004186830177,NA
Jauker_2019,pooled,BJ,TRUE,"Baselga family, Ruzicka",0.682853141920323,NA
Jung_2014,standardized_fragment,BJ,FALSE,"Baselga family, Jaccard",0.8016659315416147,NA
Jung_2014,standardized_fragment,BJ,TRUE,"Baselga family, Ruzicka",0.6977125008167802,NA
Jyothi_2015,standardized_fragment,BJ,FALSE,"Baselga family, Jaccard",0.8141154561341373,NA
Jyothi_2015,standardized_fragment,BJ,TRUE,"Baselga family, Ruzicka",0.8962145562913062,NA
Kapoor_2008,pooled,BJ,FALSE,"Baselga family, Jaccard",0.9115395455125598,NA
Kapoor_2008,pooled,BJ,TRUE,"Baselga family, Ruzicka",0.9228795250660143,NA
Kappes_2009,standardized_subsamples,BJ,FALSE,"Baselga family, Jaccard",0.6967461146689583,NA
Kappes_2009,standardized_subsamples,BJ,TRUE,"Baselga family, Ruzicka",0.6301815177253247,NA
Klein_1989,standardized_fragment,BJ,FALSE,"Baselga family, Jaccard",0.7921375483524642,NA
Klein_1989,standardized_fragment,BJ,TRUE,"Baselga family, Ruzicka",0.6664212766499698,NA
Knapp_2015_a,standardized_fragment,BJ,FALSE,"Baselga family, Jaccard",0.7164763910287996,NA
Knapp_2015_a,standardized_fragment,BJ,TRUE,"Baselga family, Ruzicka",0.5833703795558337,NA
